"","model_id","Category","checkpoint","base_model","sum_value"
"1","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"2","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"3","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"4","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"5","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"6","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"7","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"8","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"9","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"10","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"11","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"12","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"13","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"14","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"15","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"16","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"17","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"18","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"19","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"20","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"21","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"22","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"23","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"24","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"25","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"26","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"27","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"28","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"29","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"30","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"31","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"32","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"33","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"34","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"35","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"36","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"37","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"38","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"39","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"40","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"41","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"42","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"43","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"44","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"45","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"46","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"47","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"48","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"49","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"50","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"51","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"52","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"53","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"54","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"55","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"56","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"57","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"58","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"59","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"60","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"61","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"62","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"63","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"64","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"65","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"66","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"67","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"68","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"69","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"70","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"71","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"72","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"73","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"74","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"75","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"76","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"77","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"78","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"79","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"80","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"81","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"82","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"83","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"84","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"85","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"86","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"87","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"88","Qwen2.5-3B-Instruct","Agency",1000,NA,816
"89","Qwen2.5-3B-Instruct","Agency",1000,NA,816
