"","model_id","Category","checkpoint","base_model","sum_value"
"1","google--gemma-2b-it","Agency",1000,"Gemma",789.5
"2","google--gemma-2b-it","Agency",2000,"Gemma",735.5
"3","google--gemma-2b-it","Agency",3000,"Gemma",712
"4","google--gemma-2b-it","Agency",4000,"Gemma",702.5
"5","google--gemma-2b-it","Agency",5000,"Gemma",674.5
"6","google--gemma-2b-it","Agency",6000,"Gemma",686
"7","google--gemma-2b-it","Agency",7000,"Gemma",688
"8","google--gemma-2b-it","Agency",8000,"Gemma",683.5
"9","google--gemma-2b-it","Agency",9000,"Gemma",681.5
"10","google--gemma-2b-it","Agency",9578,"Gemma",681.5
"11","google--gemma-2b-it","Communion",1000,"Gemma",644
"12","google--gemma-2b-it","Communion",2000,"Gemma",721
"13","google--gemma-2b-it","Communion",3000,"Gemma",736
"14","google--gemma-2b-it","Communion",4000,"Gemma",763
"15","google--gemma-2b-it","Communion",5000,"Gemma",761.5
"16","google--gemma-2b-it","Communion",6000,"Gemma",760
"17","google--gemma-2b-it","Communion",7000,"Gemma",763
"18","google--gemma-2b-it","Communion",8000,"Gemma",761
"19","google--gemma-2b-it","Communion",9000,"Gemma",761
"20","google--gemma-2b-it","Communion",9578,"Gemma",763
"21","meta-llama--Llama-3.2-3B","Agency",1000,"Llama",597.5
"22","meta-llama--Llama-3.2-3B","Agency",2000,"Llama",594
"23","meta-llama--Llama-3.2-3B","Agency",3000,"Llama",618.5
"24","meta-llama--Llama-3.2-3B","Agency",4000,"Llama",607
"25","meta-llama--Llama-3.2-3B","Agency",5000,"Llama",609
"26","meta-llama--Llama-3.2-3B","Agency",6000,"Llama",616
"27","meta-llama--Llama-3.2-3B","Agency",7000,"Llama",618
"28","meta-llama--Llama-3.2-3B","Agency",8000,"Llama",611.5
"29","meta-llama--Llama-3.2-3B","Agency",9000,"Llama",616.5
"30","meta-llama--Llama-3.2-3B","Agency",9578,"Llama",616.5
"31","meta-llama--Llama-3.2-3B","Communion",1000,"Llama",869
"32","meta-llama--Llama-3.2-3B","Communion",2000,"Llama",854
"33","meta-llama--Llama-3.2-3B","Communion",3000,"Llama",837
"34","meta-llama--Llama-3.2-3B","Communion",4000,"Llama",829
"35","meta-llama--Llama-3.2-3B","Communion",5000,"Llama",843
"36","meta-llama--Llama-3.2-3B","Communion",6000,"Llama",829.5
"37","meta-llama--Llama-3.2-3B","Communion",7000,"Llama",835
"38","meta-llama--Llama-3.2-3B","Communion",8000,"Llama",826
"39","meta-llama--Llama-3.2-3B","Communion",9000,"Llama",831
"40","meta-llama--Llama-3.2-3B","Communion",9578,"Llama",831.5
"41","qwen--qwen2.5-3B-instruct","Agency",1000,"Qwen",785.5
"42","qwen--qwen2.5-3B-instruct","Agency",2000,"Qwen",779
"43","qwen--qwen2.5-3B-instruct","Agency",3000,"Qwen",814.5
"44","qwen--qwen2.5-3B-instruct","Agency",4000,"Qwen",820
"45","qwen--qwen2.5-3B-instruct","Agency",5000,"Qwen",830
"46","qwen--qwen2.5-3B-instruct","Agency",6000,"Qwen",833.5
"47","qwen--qwen2.5-3B-instruct","Agency",7000,"Qwen",829
"48","qwen--qwen2.5-3B-instruct","Agency",8000,"Qwen",829.5
"49","qwen--qwen2.5-3B-instruct","Agency",9000,"Qwen",829
"50","qwen--qwen2.5-3B-instruct","Agency",9578,"Qwen",832
"51","qwen--qwen2.5-3B-instruct","Communion",1000,"Qwen",661.5
"52","qwen--qwen2.5-3B-instruct","Communion",2000,"Qwen",682.5
"53","qwen--qwen2.5-3B-instruct","Communion",3000,"Qwen",662
"54","qwen--qwen2.5-3B-instruct","Communion",4000,"Qwen",640.5
"55","qwen--qwen2.5-3B-instruct","Communion",5000,"Qwen",642
"56","qwen--qwen2.5-3B-instruct","Communion",6000,"Qwen",637.5
"57","qwen--qwen2.5-3B-instruct","Communion",7000,"Qwen",641
"58","qwen--qwen2.5-3B-instruct","Communion",8000,"Qwen",638.5
"59","qwen--qwen2.5-3B-instruct","Communion",9000,"Qwen",640
"60","qwen--qwen2.5-3B-instruct","Communion",9578,"Qwen",639
