"","model_id","Category","checkpoint","base_model","sum_value"
"1","Qwen2.5-3B-Instruct","Agency",1000,NA,815.5
"2","Qwen2.5-3B-Instruct","Agency",2000,NA,803.5
"3","Qwen2.5-3B-Instruct","Agency",3000,NA,808
"4","Qwen2.5-3B-Instruct","Agency",4000,NA,806
"5","Qwen2.5-3B-Instruct","Agency",5000,NA,794
"6","Qwen2.5-3B-Instruct","Agency",6000,NA,795
"7","Qwen2.5-3B-Instruct","Agency",6628,NA,795
"8","Qwen2.5-3B-Instruct","Communion",1000,NA,605.5
"9","Qwen2.5-3B-Instruct","Communion",2000,NA,637
"10","Qwen2.5-3B-Instruct","Communion",3000,NA,606
"11","Qwen2.5-3B-Instruct","Communion",4000,NA,634
"12","Qwen2.5-3B-Instruct","Communion",5000,NA,647
"13","Qwen2.5-3B-Instruct","Communion",6000,NA,646
"14","Qwen2.5-3B-Instruct","Communion",6628,NA,647.5
"15","google--gemma-2b-it-Unified","Agency",1000,"Gemma",719.5
"16","google--gemma-2b-it-Unified","Agency",2000,"Gemma",715.5
"17","google--gemma-2b-it-Unified","Agency",3000,"Gemma",722
"18","google--gemma-2b-it-Unified","Agency",4000,"Gemma",745.5
"19","google--gemma-2b-it-Unified","Agency",5000,"Gemma",745
"20","google--gemma-2b-it-Unified","Agency",6000,"Gemma",745.5
"21","google--gemma-2b-it-Unified","Agency",6628,"Gemma",741.5
"22","google--gemma-2b-it-Unified","Communion",1000,"Gemma",737
"23","google--gemma-2b-it-Unified","Communion",2000,"Gemma",734
"24","google--gemma-2b-it-Unified","Communion",3000,"Gemma",737.5
"25","google--gemma-2b-it-Unified","Communion",4000,"Gemma",712
"26","google--gemma-2b-it-Unified","Communion",5000,"Gemma",714
"27","google--gemma-2b-it-Unified","Communion",6000,"Gemma",709.5
"28","google--gemma-2b-it-Unified","Communion",6628,"Gemma",708
"29","meta-llama--Llama-3.2-3B-Unified","Agency",1000,"Llama",584.5
"30","meta-llama--Llama-3.2-3B-Unified","Agency",2000,"Llama",592.5
"31","meta-llama--Llama-3.2-3B-Unified","Agency",3000,"Llama",638.5
"32","meta-llama--Llama-3.2-3B-Unified","Agency",4000,"Llama",620
"33","meta-llama--Llama-3.2-3B-Unified","Agency",5000,"Llama",629.5
"34","meta-llama--Llama-3.2-3B-Unified","Agency",6000,"Llama",631
"35","meta-llama--Llama-3.2-3B-Unified","Agency",6628,"Llama",630.5
"36","meta-llama--Llama-3.2-3B-Unified","Communion",1000,"Llama",873.5
"37","meta-llama--Llama-3.2-3B-Unified","Communion",2000,"Llama",867.5
"38","meta-llama--Llama-3.2-3B-Unified","Communion",3000,"Llama",794
"39","meta-llama--Llama-3.2-3B-Unified","Communion",4000,"Llama",823
"40","meta-llama--Llama-3.2-3B-Unified","Communion",5000,"Llama",831.5
"41","meta-llama--Llama-3.2-3B-Unified","Communion",6000,"Llama",828.5
"42","meta-llama--Llama-3.2-3B-Unified","Communion",6628,"Llama",829.5
